ID,type,start,end,duration,mean_acc_1min_before,mean_acc_1min_after
200 (2015-07-02)RAW.csv,sib,2015-07-02T09:38:55Z,2015-07-02T09:38:55Z,0.0833333333333333,1,4.333
200 (2015-07-02)RAW.csv,sib,2015-07-02T09:42:45Z,2015-07-02T09:47:55Z,5.25,2.758,1.683
200 (2015-07-02)RAW.csv,sib,2015-07-02T09:50:50Z,2015-07-02T09:58:10Z,7.41666666666667,0.017,1.025
200 (2015-07-02)RAW.csv,sib,2015-07-02T09:58:30Z,2015-07-02T10:51:00Z,52.5833333333333,3.25,10.308
200 (2015-07-02)RAW.csv,sib,2015-07-02T10:51:20Z,2015-07-02T11:43:55Z,52.6666666666667,6.6,20.2
200 (2015-07-02)RAW.csv,sib,2015-07-02T11:46:10Z,2015-07-02T11:58:25Z,12.3333333333333,0,11.308
200 (2015-07-02)RAW.csv,sib,2015-07-02T15:35:20Z,2015-07-02T15:42:25Z,7.16666666666667,89.233,17.042
200 (2015-07-02)RAW.csv,sib,2015-07-02T20:28:50Z,2015-07-02T20:34:20Z,5.58333333333333,15.917,9.583
200 (2015-07-02)RAW.csv,sib,2015-07-03T02:55:25Z,2015-07-03T03:03:30Z,8.16666666666667,12.75,14.133
200 (2015-07-02)RAW.csv,sib,2015-07-03T06:54:25Z,2015-07-03T06:54:25Z,0.0833333333333333,8.783,1.292
200 (2015-07-02)RAW.csv,sib,2015-07-03T10:15:00Z,2015-07-03T10:35:25Z,20.5,1.967,16.308
200 (2015-07-02)RAW.csv,sib,2015-07-03T10:35:40Z,2015-07-03T12:24:45Z,109.166666666667,10.367,23.625
200 (2015-07-02)RAW.csv,sib,2015-07-04T04:30:20Z,2015-07-04T04:44:10Z,13.9166666666667,7.233,13.325
200 (2015-07-02)RAW.csv,sib,2015-07-04T10:47:10Z,2015-07-04T10:47:10Z,0.0833333333333333,3.758,7.808
200 (2015-07-02)RAW.csv,sib,2015-07-04T21:17:50Z,2015-07-04T21:34:50Z,17.0833333333333,53.133,37.033
200 (2015-07-02)RAW.csv,sib,2015-07-05T11:50:55Z,2015-07-05T11:50:55Z,0.0833333333333333,9.067,4.908
200 (2015-07-02)RAW.csv,sib,2015-07-06T02:36:25Z,2015-07-06T02:42:05Z,5.75,16.675,12.4
200 (2015-07-02)RAW.csv,sib,2015-07-06T11:50:35Z,2015-07-06T11:50:35Z,0.0833333333333333,2.575,30.7
200 (2015-07-02)RAW.csv,sib,2015-07-06T15:19:25Z,2015-07-06T15:30:05Z,10.75,0,4.883
200 (2015-07-02)RAW.csv,sib,2015-07-06T15:35:45Z,2015-07-06T15:41:05Z,5.41666666666667,0.817,5.55
200 (2015-07-02)RAW.csv,sib,2015-07-06T16:01:20Z,2015-07-06T16:13:15Z,12,98.592,64.817
200 (2015-07-02)RAW.csv,sib,2015-07-06T22:24:45Z,2015-07-06T22:32:35Z,7.91666666666667,25.808,7
200 (2015-07-02)RAW.csv,sib,2015-07-07T05:26:30Z,2015-07-07T05:26:30Z,0.0833333333333333,8.4,12.292
200 (2015-07-02)RAW.csv,sib,2015-07-07T05:29:55Z,2015-07-07T05:29:55Z,0.0833333333333333,9.492,1.6
